Date,^DJI,^IXIC,^FCHI,^FTSE,^STOXX50E,^HSI,^N225
2019-06-13,0.9869241647926181,0.9796130738673223,0.9723188323366938,0.9864389341206947,0.9789625955251555,0.9059020737895516,0.9464639388828292
2019-06-14,0.98627545286162,0.9745545034685588,0.9708700633310947,0.9833866451654443,0.9756969638140571,0.9000487019311518,0.9502841136313896
2019-06-17,0.9871419034091119,0.9805993126052102,0.9750898989253108,0.9849261570933607,0.9768576919527902,0.9036600865796264,0.9506040435983684
2019-06-18,1.00048686620453,0.9942064043446993,0.9965742318362485,0.9963988938680008,0.9969768622034675,0.9126747083734456,0.9437958635867841
2019-06-19,1.0019408196924902,0.9983862768593506,0.9981515035791766,0.9911110050721139,0.9974994929832905,0.9360193531997195,0.9600483938021479
2019-06-20,1.0113602852737666,1.0063885492549622,1.0012480221176616,0.993908887589548,1.0013628298983437,0.9475789474639504,0.9658531011673049
2019-06-21,1.010073493612779,1.0039348844402727,0.9999385306493601,0.991646487481824,1.001027849932641,0.945032678522591,0.9566630249729949
2019-06-24,1.0103913521221062,1.0006837571991185,0.9987411147643375,0.9928781231707592,0.9977507279575675,0.9463366690018269,0.957893788524534
2019-06-25,1.0036125117969439,0.9855616943629123,0.9974496401746719,0.993641146384693,0.9945139981374493,0.9354830031686399,0.9537455976669722
2019-06-26,1.0031815384824394,0.9887178536310388,0.9949445875000309,0.992837922770128,0.9941068339367132,0.9366778307940762,0.9489205439864152
2019-06-27,1.0027944229970964,0.9959413398211026,0.9936585003103495,0.9909503342025989,0.9939422341429599,0.9499350889408241,0.9602419338536003
2019-06-28,1.0055684676089258,1.0007512601413864,1.0018630688961907,0.9940695584590631,1.0029826046567432,0.94731971809795,0.9574406129998796
2019-07-01,1.0100091835636213,1.0113659452294799,1.0070975903661277,1.0036948417003004,1.009883459821402,,0.9778734149623511
2019-07-02,1.0126270677231333,1.0136070917394893,1.008709129505677,1.0119546840166802,1.0128834056127332,0.9583699289268144,0.9789668898852032
2019-07-03,1.0194059818830248,1.0212493891319407,1.0163041270310056,1.0186615489050947,1.0223106385111493,0.9576921987388838,0.9737418358530748
2019-07-04,,,1.016651393534908,1.017898525691161,1.0233269981798152,0.9557216925454152,0.9766349168401818
2019-07-05,1.0177471370214568,1.0201944267837515,1.0117659932475564,1.0111380602685713,1.018658144415418,0.9550267192938797,0.9786118906718442
2019-07-08,1.0133627569651622,1.012268385106849,1.0109465785417562,1.0106293127594437,1.0174396829871415,0.9403190342743487,0.9690702430852499
